molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4172977,inactive,4.522878745280337,CC(C)(C)NCCCNC(=O)c1cccc(Br)c1,313.23900000000003,2.9571000000000014,2.0,2.0
CHEMBL4164098,inactive,4.657577319177793,CC(C)(C)NCCCNC(=O)c1cccc(C(F)(F)F)c1,302.34,3.213400000000002,2.0,2.0
CHEMBL4160535,inactive,4.886056647693163,CC(C)(C)NCCCNC(=O)c1cccc(I)c1,360.23900000000003,2.799200000000001,2.0,2.0
CHEMBL4170666,inactive,4.853871964321762,CC(C)c1cccc(C(=O)NCCCNC(C)(C)C)c1,276.424,3.3180000000000023,2.0,2.0
CHEMBL2426494,inactive,5.0,CC(C1CCN(C(=O)c2ccc(C(=O)N3CCC(N4CCCC4)CC3)cc2)CC1)N1CCN(C)CC1,495.71200000000056,2.8751000000000033,0.0,5.0
CHEMBL5439940,inactive,4.853871964321762,CCCN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc(C(N)=O)cc5)c4)C3)c2)CC1,554.695,3.870400000000002,2.0,6.0
CHEMBL4757490,inactive,4.748605149959896,CCN(CC)c1cc(C)c2cc(N(C)C(=O)/C=C/c3ccco3)ccc2n1,363.46100000000007,4.658620000000004,0.0,4.0
CHEMBL4787042,inactive,4.301029995663981,CCN(CC)c1cc(C)c2cc(NC(=O)/C=C/c3ccc4ccoc4c3)ccc2n1,399.49400000000014,5.787520000000005,1.0,4.0
CHEMBL4798544,inactive,4.504178246614094,CCN(CC)c1cc(C)c2cc(NC(=O)/C=C/c3ccccn3)ccc2n1,360.46100000000007,4.436320000000003,1.0,4.0
CHEMBL5402301,active,6.0655015487564325,CCN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6c(c5)C(=O)NC6)c4)C3)c2)CC1,552.6790000000001,3.6248000000000014,2.0,6.0
CHEMBL2426374,inactive,5.0,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CC5CCC(C4)C5N4CCCC4)cc3)cc2C1,472.6330000000004,4.220800000000004,1.0,4.0
CHEMBL2424677,inactive,5.0,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(C5CCCN5)CC4)c(Nc4ccccc4)c3)cc2C1,537.7080000000002,5.622200000000006,3.0,5.0
CHEMBL2426375,inactive,5.0,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(C5CCCN5)CC4)cc3)cc2C1,446.5950000000003,3.878600000000003,2.0,4.0
CHEMBL2426373,inactive,5.0,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(N5CCCC5)CC4)cc3)cc2C1,446.59500000000037,3.9748000000000037,1.0,4.0
CHEMBL2426475,inactive,5.0,CN(C)C1CCN(C(=O)c2ccc(C(=O)N3CCC(N(C)C)CC3)cc2)CC1,386.5400000000002,2.019,0.0,4.0
CHEMBL2426488,inactive,5.0,CN(C)C1CCN(C(=O)c2ccc(C(=O)N3CCC(N4CCCC4)CC3)cc2)CC1,412.5780000000003,2.5531999999999995,0.0,4.0
CHEMBL4753650,inactive,4.301029995663981,CN(C)c1ccc2cc(NC(=O)/C=C/c3cccc4cccnc34)ccc2n1,368.44000000000005,4.500900000000003,1.0,4.0
CHEMBL2426493,inactive,5.0,CN1CCC(N2CCN(C(=O)c3ccc(C(=O)N4CCC(N5CCCC5)CC4)cc3)CC2)CC1,467.6580000000005,2.2390000000000008,0.0,5.0
CHEMBL2426473,inactive,5.0,CN1CCCC1C1CCN(C(=O)c2ccc(C(=O)N3CCC(C4CCCN4C)CC3)cc2)CC1,466.6700000000004,3.5794000000000024,0.0,4.0
CHEMBL5416576,inactive,4.823908740944319,CN1CCN(c2ccnc(C(=O)N3CCC[C@@H](C(=O)Nc4cccc(-c5ccc(C(N)=O)cc5)c4)C3)c2)CC1,526.6410000000002,3.090200000000001,2.0,6.0
CHEMBL5414804,inactive,4.0,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cc(-c5cccnc5)ncn4)C3)c2)CC1,486.5800000000002,2.1762999999999995,1.0,8.0
CHEMBL5403027,active,6.327902142064283,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc(C(N)=O)cc5)c4)C3)c2)CC1,526.6410000000002,3.090200000000001,2.0,6.0
CHEMBL5420747,inactive,4.42021640338319,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6[nH]cnc6c5)c4)C3)c2)CC1,523.6410000000002,3.867600000000002,2.0,6.0
CHEMBL5440782,inactive,4.823908740944319,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6[nH]ncc6c5)c4)C3)c2)CC1,523.6410000000002,3.867600000000002,2.0,6.0
CHEMBL5439383,active,6.337242168318426,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6c(c5)C(=O)NC6)c4)C3)c2)CC1,538.6520000000002,3.234700000000002,2.0,6.0
CHEMBL5437926,inactive,4.920818753952375,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6c(c5)CCCN6)c4)C3)c2)CC1,538.6960000000001,4.349400000000003,2.0,6.0
CHEMBL5431898,inactive,4.552841968657781,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6c(c5)CCNC6)c4)C3)c2)CC1,538.6960000000001,3.6370000000000022,2.0,6.0
CHEMBL5419460,inactive,4.1771783546968955,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6c(c5)CNC6)c4)C3)c2)CC1,524.6690000000002,3.594500000000002,2.0,6.0
CHEMBL5434158,inactive,4.080921907623926,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5cccc(C(=O)O)c5)c4)C3)c2)CC1,527.6250000000001,3.6895000000000016,2.0,6.0
CHEMBL5423187,inactive,4.7447274948966935,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccccn5)c4)C3)c2)CC1,484.6040000000002,3.386300000000002,1.0,6.0
CHEMBL5416659,inactive,4.356547323513812,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(N5CCNCC5)c4)C3)c2)CC1,491.6400000000003,1.7339000000000013,2.0,7.0
CHEMBL5412159,inactive,4.494850021680094,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(N5CCOCC5)c4)C3)c2)CC1,492.62400000000036,2.1609,1.0,7.0
CHEMBL5431260,inactive,4.657577319177793,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4ccccc4)C3)c2)CC1,407.51800000000014,2.3243,1.0,5.0
CHEMBL2426468,inactive,5.0,CN1CCN2CC(NC(=O)c3ccc(C(=O)N4CCC(N5CCCC5)CC4)cc3)CC2C1,439.6040000000004,1.5051000000000025,1.0,5.0
CHEMBL5406735,inactive,4.0,CNC(=O)[C@H]1CCCN(C(=O)c2cc(N3CCN(C)CC3)ccn2)C1,345.4470000000001,0.4316000000000013,1.0,5.0
CHEMBL5409275,inactive,4.958607314841775,CNC(=O)c1cccc(-c2cccc(NC(=O)[C@H]3CCCN(C(=O)c4cc(N5CCN(C)CC5)ccn4)C3)c2)c1,540.6680000000003,3.350900000000001,2.0,6.0
CHEMBL5398002,inactive,5.0,COC(=O)c1ccc(-c2cccc(NC(=O)[C@H]3CCCN(C(=O)c4cc(N5CCN(C)CC5)ccn4)C3)c2)cc1,541.6520000000005,3.7779000000000025,1.0,7.0
CHEMBL5438168,inactive,5.0,COC(=O)c1cccc(-c2cccc(NC(=O)[C@H]3CCCN(C(=O)c4cc(N5CCN(C)CC5)ccn4)C3)c2)c1,541.6520000000004,3.7779000000000025,1.0,7.0
CHEMBL2426489,inactive,5.0,C[N+]1(C2CCN(C(=O)c3ccc(C(=O)N4CCC(N5CCCC5)CC4)cc3)CC2)CCCC1,453.6510000000005,3.232000000000001,0.0,3.0
CHEMBL2426359,inactive,5.0,Cc1cc(C(=O)N2CCC(N3CCCC3)CC2)c(C)cc1C(=O)N1CCC(N2CCCC2)CC1,466.6700000000004,3.704240000000003,0.0,4.0
CHEMBL4743203,inactive,4.82102305270683,Cc1cc(N2CCCCC2)nc2ccc(NC(=O)/C=C/c3ccco3)cc12,361.4450000000001,4.778420000000004,1.0,4.0
CHEMBL4746119,inactive,4.6522797829659615,Cc1cc2cc(NC(=O)/C=C/c3ccco3)ccc2[nH]1,266.3,3.7212200000000015,2.0,2.0
CHEMBL3134130,inactive,4.6777807052660805,Clc1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CCCC1,361.9610000000002,4.042900000000003,0.0,3.0
CHEMBL3134145,inactive,4.522878745280337,FC1(F)CN(CCc2ccc(N3CCC(N4CCCC4)CC3)cc2)C1,349.4690000000002,3.244600000000002,0.0,3.0
